Method,Task Size (n),Mean,Variance,Execution Time (s)
Sequential,100,3283.5,8721961.05,0.00023865699768066406
ThreadPoolExecutor,100,3283.5,8721961.05,0.002450704574584961
Multiprocessing,100,3283.5,8721961.05,0.019685029983520508
Sequential,500,83083.5,5534715361.05,0.0011739730834960938
ThreadPoolExecutor,500,83083.5,5534715361.05,0.0028281211853027344
Multiprocessing,500,83083.5,5534715361.05,0.01863384246826172
Sequential,1000,332833.5,88722194611.05,0.00424957275390625
ThreadPoolExecutor,1000,332833.5,88722194611.05,0.0076847076416015625
Multiprocessing,1000,332833.5,88722194611.05,0.02156519889831543
Sequential,5000,8330833.5,55534721528611.04,0.011963129043579102
ThreadPoolExecutor,5000,8330833.5,55534721528611.04,0.021054744720458984
Multiprocessing,5000,8330833.5,55534721528611.04,0.03463435173034668
Sequential,10000,33328333.5,888722219446110.9,0.025586366653442383
ThreadPoolExecutor,10000,33328333.5,888722219446110.9,0.04198145866394043
Multiprocessing,10000,33328333.5,888722219446110.9,0.05597257614135742
